,track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
0,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,Eminem,91,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,4.74,4
1,3LMpZcOhaz2CUX5rfoCNRs,Anthem for the Year 2000,Silverchair,50,0.325,0.768,2,-7.51,1,0.0491,0.0426,4.04e-06,0.27,0.454,176.6,4.13,4
2,2MLHyLy5z5l5YRp7momlgw,Island In The Sun,Weezer,81,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,3.34,4
3,6pM25DLzJb5oWj74d3ElXI,2000 Light Years Away,Green Day,49,0.206,0.99,10,-3.565,1,0.13,0.00176,8.07e-05,0.335,0.666,187.433,2.41,4
4,7D0RhFcb3CrfPuTJ0obrod,Sparks,Coldplay,86,0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3.78,3
5,6dkdyqj9E2rDBfwd9IHNBB,Year 2000 (remix featuring Jonathan Davis),Xzibit,17,0.902,0.522,8,-6.512,1,0.477,0.167,0.0,0.0809,0.735,94.926,3.73,4
6,6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,83,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152,2.76,4
7,6VFja7sL2Xd5wjbK9Sn5Xs,The Year 2000,Eden Burns,21,0.808,0.951,7,-10.314,0,0.0578,0.000646,0.777,0.197,0.785,124.0,7.23,4
8,3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,90,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4.45,4
9,5iVOSacX0ZnNQeoxQ0PldS,2000 Light Years Away - BBC Live Session,Green Day,48,0.27,0.977,10,-4.861,1,0.119,0.00235,1.12e-06,0.235,0.644,190.131,2.64,4
10,0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Outkast,86,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948,4.51,4
11,0Io1kinEi9fp1b4Maf84yO,Anthem for the Year 2000,Rockabye Baby!,18,0.77,0.207,9,-13.791,0,0.106,0.962,0.438,0.0668,0.785,87.745,3.68,4
12,5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray,84,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,4.38,4
13,4EPtqZQeTpMTAzFey8wCIa,2000 Light Years From Home - Stereo / Remastered,The Rolling Stones,44,0.347,0.679,9,-11.91,1,0.0466,0.00171,0.00477,0.158,0.275,122.269,4.75,4
14,3UmaczJpikHgJFyBTAJVoz,Stan,Eminem,88,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,6.74,4
15,2aC8wwfrM0YeTAzzk8hxqC,Disco 2000,Pulp,69,0.565,0.902,7,-7.579,0,0.0725,0.0132,0.0,0.0561,0.544,133.11,4.56,4
16,2DlHlPMa4M17kufBvI2lEN,Chop Suey!,System Of A Down,85,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,3.5,4
17,20ziqiTrvPei5LL7FHEBeY,Magidi-Mbirhi (Year 2000),Thomas Chauke & Shinyori Sisters,18,0.895,0.525,8,-8.457,1,0.21,0.059,3.7e-05,0.0832,0.709,117.034,6.87,4
18,6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,3 Doors Down,82,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,3.9,4
19,628aUzy2L6xHNoEtY7hsqN,The Jitterbug Waltz - Buddha Remastered - 2000,Chet Atkins,40,0.601,0.296,2,-14.538,1,0.0602,0.978,0.901,0.0982,0.68,160.533,2.61,3
20,5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Usher,86,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,4.17,4
21,0sFq478LIo9BFwf2qzMzzF,The Year 2003 Minus 25 - Remastered,Waylon Jennings,44,0.626,0.457,4,-13.785,1,0.0384,0.355,9.2e-06,0.0668,0.474,102.166,3.07,4
22,60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,87,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,3.61,4
23,29gfhoWy5iHBUHVeVy718S,Year 2000 - Allbin & Luc Allen Remix,Mioso,5,0.747,0.533,7,-9.872,1,0.0879,0.659,0.0227,0.0827,0.291,120.0,3.07,4
24,2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya!,Outkast,85,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,3.92,4
